[2025-02-03 17:40:52] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: helado (ID: 101, Nombre: helado, Precio: 1200,00, Stock: 20)
[2025-02-03 17:41:51] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: helada (ID: 102, Nombre: helada, Precio: 1200,00, Stock: 20)
[2025-02-03 17:42:50] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: efgrs (ID: 101, Nombre: efgrs, Precio: 100,00, Stock: 1)
[2025-02-03 17:46:55] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: sreg (ID: 100, Nombre: sreg, Precio: 1,00, Stock: 12)
[2025-02-03 18:25:33] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: hola (ID: 100, Nombre: hola, Precio: 12,00, Stock: 10)
[2025-02-03 18:26:08] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: holo (ID: 102, Nombre: holo, Precio: 45,00, Stock: 54)
[2025-02-03 18:34:18] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: marco (ID: 1, Nombre: marco, Precio: 12,20, Stock: 21)
[2025-02-03 18:34:50] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: mario (ID: 11, Nombre: mario, Precio: 45,00, Stock: 78)
[2025-02-03 18:54:33] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: aaa (ID: 111, Nombre: aaa, Precio: 11,10, Stock: 111)
[2025-02-03 18:54:55] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: aab (ID: 112, Nombre: aab, Precio: 11,20, Stock: 112)
[2025-02-03 18:55:16] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: abb (ID: 122, Nombre: abb, Precio: 12,20, Stock: 122)
[2025-02-04 00:17:16] Operación: Agregar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: Hola (ID: 100, Nombre: Hola, Precio: 12,00, Stock: 122)
[2025-02-04 00:17:50] Operación: Editar Producto | Usuario: Admin | IP: 127.0.0.1 | Producto: Adios (ID: 100, Nombre: Adios, Precio: 12,00, Stock: 12)
